
Structure	ReferenceUnits	Comments
1qhg_A	(1-318;319-651)	Insertion:109-205;389-555
1a6d_A	(17-118;119-519)	Insertion:146-403
1b7y_B	(1-190;400-474)	Insertion:39-399
1sr9_A	(492-546;547-643)	Insertion:578-614
19hc_A	(1-135;169-292)	
1a4p_A	(1-45;46-92)	
1a4s_A	(152-265;266-462)	
1a8l_A	(1-119;120-226)	
1af2_A	(1-150;151-294)	
1afw_B	(25-295;296-417)	
1ahj_A	(10-119;120-207)	
1ahu_A	(274-419;420-560)	
1ai3_A	(3-220;221-416)	
1aj8_A	(6-149;150-376)	
1ako_A	(1-102;103-268)	
1ala_A	(3-87;88-161;160-245;246-318)	
1anv_A	(266-385;386-529)	
1aoa_A	(121-251;260-375)	
1aor_A	(1-117;118-210)	
1at0_A	(258-323;324-402)	
1avk_A	(9-96;97-211)	
1b24_A	(7-103;104-178)	
1b3q_A	(540-599;600-671)	
1b65_A	(9-193;194-375)	
1b77_A	(1-104;105-228)	
1ba3_A	(3-177;178-333)	
1bj5_A	(3-196;197-388;389-584)	
1bml_C	(12-148;149-284)	
1boy_A	(5-106;107-213)	
1bp1_A	(1-240;241-456)	
1bwz_A	(1-144;145-274)	
1bxr_A	(1-127;556-676)	
1bxr_A	(128-402;677-935)	
1c3g_A	(180-261;266-340)	
1c8u_A	(2-115;116-286)	
1c8v_B	(83-194;195-389)	
1c9y_A	(34-186;187-354)	
1cdw_A	(155-242;243-333)	
1ce8_A	(414-468;469-524)	
1ciy_A	(428-461,256-296;297-354;355-427)	
1cjd_A	(15-244;245-383)	
1ck7_A	(217-278;279-334)	
1ckv_A	(1-82;83-141)	
1cpo_A	(26-106;129-218)	
1d2o_A	(535-624;625-721)	
1d4v_A	(105-144;145-185)	
1d5y_A	(3-56;57-121)	
1d8h_A	(299-413;425-500)	
1ddz_A	(84-310;338-564)	
1df9_C	(501-538;539-572)	
1dfc_A	(1013-1137;1141-1259)	
1dgs_A	(427-501;502-576)	
1dkr_B	(1-164;165-315)	
1dlp_A	(1-120;121-235)	
1doz_A	(2-170;171-310)	
1e0c_A	(1-135;136-271)	
1e3p_A	(3-151;346-482) (152-262;483-578)	
1e9h_B	(175-309;310-432)	
1eb7_A	(27-168;181-304)	
1efd_N	(32-159;160-293)	
1efu_B	(55-139;140-282)	
1ei5_A	(336-418;419-520)	
1emn_A	(2124-2164;2165-2205)	
1erz_A	(1-162;163-274)	
1exj_A	(121-200;201-277)	
1f0i_A	(6-254;255-514)	
1f34_B	(1-74;75-148)	
1f52_A	(102-257;258-389)	
1f53_A	(1-47;48-84)	
1f9z_A	(1-65;66-126)	
1fec_A	(1-186;187-357)	
1fga_A	(20-58;59-101;102-143)	
1fjr_A	(1-62;121-188)	
1fo4_A	(176-261;461-612) (262-380;613-761)	
1fok_A	(4-143;144-281;287-386)	
1ftr_A	(1-124;144-296)	
1fx8_A	(6-136;137-259)	
1fyz_E	(3-79;80-169)	
1g1b_A	(1-99;100-164)	
1g4m_A	(5-175;176-357)	
1g61_A	(2003-2046;2047-2089) (2090-2136;2137-2180)	
1ggu_A	(516-629;630-726)	
1guw_A	(19-80;115-171)	
1h16_A	(164-425;426-742)	
1h5y_B	(1-126;127-253)	
1h6g_A	(377-507;508-631)	
1n52_A	(26-142;481-616)	
1h99_A	(54-168;169-275)	
1h9m_A	(1-72;73-141)	
1haz_B	(16-123;124-245)	
1hg7_A	(1000-1037;1038-1065)	
1hh2_P	(199-278;279-344)	
1hr6_A	(14-234;235-470)	
1hs6_A	(1-113;114-208)	
1hsl_A	(1-103;104-238)	
1hxp_A	(44-177;178-348)	
1i50_H	(2-63;76-146)	
1i7o_A	(1-218;219-429)	
1i8d_A	(1-93;94-206)	
1idu_A	(3-239;240-578)	
1iic_A	(34-226;227-455)	
1is2_A	(272-442;475-603)	
1isv_A	(304-353;354-395;396-436)	
1itb_B	(6-101;102-204)	
1itk_B	(60-433;445-731)	
1j6z_A	(4-146;147-372)	
1j7n_A	(42-251;581-773)	
1jaw_A	(177-281;282-440)	
1jfl_A	(1-115;116-228)	
1jh7_A	(1-85;86-183)	
1jly_A	(1-53;54-106;107-153)	
1jnx_X	(1649-1757;1758-1859)	
1jr2_A	(1-136;137-260)	
1jsg_A	(4-57;58-114)	
1jtg_B	(1-79;80-165)	
1k28_D	(32-111;227-359)	
1k2y_X	(5-152;153-258;259-367)	
1k6k_A	(1-73;74-142)	
1k8k_D	(13-122;123-253)	
1kap_P	(253-333;370-470)	
1kg1_A	(1-27;28-60)	
1kiz_B	(55-169;170-307)	
1knc_A	(22-92;104-175)	
1kpl_B	(12-240;241-462)	
1kt1_A	(28-138;139-253)	
1ky9_B	(268-349;375-446)	
1kzq_A	(3-130;137-255)	
1lar_A	(1307-1623;1628-1876)	
1li1_A	(5-114;115-228)	
1lpb_A	(6-42;43-90)	
1m98_A	(2-90;91-175)	
1m9n_A	(201-394;395-592)	
1m9s_A	(391-465;466-551)	
1moq_A	(243-430;431-608)	
1msv_A	(4-166;167-328)	
1n0f_A	(22-101;102-162)	
1n81_A	(21-113;114-206)	
1nol_A	(154-250;251-379)	
1nu9_C	(1-145;146-281)	
1o70_A	(328-467;468-623)	
1o9s_A	(194-288;289-366)	
1ock_A	(53-209;218-408)	
1opm_A	(45-200;201-354)	
