Structure	PredictedUnits	TMscore	Evaluation	Ignored
19hc_A				43-53;55-67;68-78;80-91;93-105;107-118;123-135
1a4p_A	No repeats found			
1a4s_A	No repeats found			
1a6d_A	No repeats found			
1a8l_A	16-114;125-220	1.00000;1.00000	TP;TP	
1af2_A	59-170;195-293	0.82143;1.00000	TP;TP	
1afw_B	No repeats found			
1ahj_A	54-116;117-178	1.00000;0.95161	TP;TP	
1ahu_A	No repeats found			
1ai3_A	No repeats found			
1aj8_A	No repeats found			
1ako_A	No repeats found			
1ala_A	1-38;39-113;114-194;195-272;273-319	1.00000;0.65333;0.64865;0.65385;1.00000	TP;TP;TP;TP;TP	
1anv_A	No repeats found			
1aoa_A	No repeats found			
1aor_A	No repeats found			
1at0_A	15-43;65-114	1.00000;0.96000	TP;TP	
1avk_A	No repeats found			
1b24_A	6-93;94-176	1.00000;0.97333	TP;TP	
1b3q_A	No repeats found			
1b65_A	No repeats found			
1b70_B	No repeats found			
1b77_A	No repeats found			
1ba3_A	No repeats found			
1bj5_A	3-65;67-258;259-452;453-583	1.00000;0.67708;0.67708;1.00000	TP;TP;TP;TP	
1bml_C	No repeats found			
1boy_A	No repeats found			
1bp1_A	No repeats found			
1bwz_A	No repeats found			
1bxr_A	4-410;473-938	1.00000;1.00000	TP;TP	
1c3g_A	No repeats found			
1c3m_A	7-52;55-103;104-144	0.56522;0.57143;0.52204	TP;TP;TP	
1c8u_A	No repeats found			
1c8v_B	No repeats found			
1c9y_A	No repeats found			
1cdw_A	3-91;93-177	0.97727;1.00000	TP;TP	
1ce8_A	5-422;475-940	0.44540;0.89286	TP;TP	
1ciy_A	No repeats found			
1cjd_A	No repeats found			
1ck7_A	37-173;192-346;365-496	0.28082;1.00000;0.29673	FP;TP;FP	
1ckv_A	No repeats found			
1cpo_A	No repeats found			
1cy8_A	No repeats found			
1d2o_A	2-91;92-173	0.98889;1.00000	TP;TP	
1d4v_A	4-35;37-77;82-116	0.38538;1.00000;1.00000	FP;TP;TP	
1d5y_A	No repeats found			
1d8h_A	No repeats found			
1ddz_A	23-258;275-494	0.93833;1.00000	TP;TP	
1dfc_A	11-38;39-84;85-125;126-159;170-202;206-240;247-287;288-328;329-369;370-409;411-446;447-484	0.92857;1.00000;1.00000;0.55882;1.00000;1.00000;0.46656;0.73542;0.73222;0.45237;0.78522;0.71108	TP;TP;TP;TP;TP;TP;TP;TP;TP;TP;TP;TP	
1dgs_A	No repeats found			
1dkr_B	No repeats found			
1dlp_A	1-17;27-54;58-85;87-117;122-148;151-178;180-210;212-235	1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000	TP;TP;TP;TP;TP;TP;TP;TP	
1dmr_A	No repeats found			
1doz_A	89-197;231-308	0.74312;1.00000	TP;TP	
1e0c_A	8-141;145-269	0.95522;1.00000	TP;TP	
1e3p_A	37-259;307-579	0.88591;1.00000	TP;TP	
1e9h_B	No repeats found			
1eb7_A	No repeats found			
1efd_N	No repeats found			
1efu_D	No repeats found			
1ei5_A	340-405;419-474	1.00000;1.00000	TP;TP	
1emn_A	1-38;39-77	1.00000;0.92308	TP;TP	
1erz_A	No repeats found			
1exj_A	No repeats found			
1f0i_A	No repeats found			
1f34_B	10-57;66-122	1.00000;0.84211	TP;TP	
1f52_A	No repeats found			
1f53_A	No repeats found			
1f9z_A	No repeats found			
1fec_A	No repeats found			
1fga_A	21-52;53-94;95-125	1.00000;0.85714;0.77419	TP;TP;TP	
1fjr_A	No repeats found			
1fo4_A	No repeats found			
1fok_A	No repeats found			
1ftr_A	No repeats found			
1fwq_A	No repeats found			
1fx8_A	7-22;48-67;68-124;129-157	1.00000;1.00000;1.00000;0.72414	TP;TP;TP;TP	
1fyz_E	No repeats found			
1g1b_A	No repeats found			
1g4m_A	No repeats found			
1g61_A	4-48;49-91;97-139;140-183;186-227	0.97727;0.95349;0.93023;0.93182;0.73075	TP;TP;TP;TP;TP	
1ggu_A	No repeats found			
1guw_A	No repeats found			
1h16_A	No repeats found			
1h5y_B	34-101;125-220	1.00000;0.97917	TP;TP	
1h6g_A	No repeats found			
1h6k_C	No repeats found			
1h99_A	19-119;121-217	0.96040;1.00000	TP;TP	
1h9m_A	3-71;73-143	1.00000;0.98551	TP;TP	
1haz_B	No repeats found			
1hg7_A	No repeats found			
1hh2_P	No repeats found			
1hr6_A	No repeats found			
1hs6_A	No repeats found			
1hsl_A	No repeats found			
1hxp_A	No repeats found			
1i1q_A	No repeats found			
1i31_A	No repeats found			
1i50_H	No repeats found			
1i7o_A	2-219;222-426	0.99541;1.00000	TP;TP	
1i8d_A	3-98;99-186	0.97849;1.00000	TP;TP	
1idu_A	No repeats found			
1iic_A	No repeats found			
1in0_B	No repeats found			
1is2_A	No repeats found			
1isv_A	No repeats found			
1itb_B	No repeats found			
1itk_B	87-185;305-567	1.00000;0.49049	TP;TP	
1iwg_A	185-593;727-994	0.96739;0.97727	TP;TP	
1j6z_A	No repeats found			
1j7n_A	No repeats found			
1jaw_A	No repeats found			
1jfl_A	53-135;165-212	0.75904;1.00000	TP;TP	
1jh7_A	No repeats found			
1jly_A	3-145;149-291	1.00000;0.74751	TP;TP	
1jnx_X	5-119;120-211	0.99074;1.00000	TP;TP	
1jr2_A	No repeats found			
1jsg_A	No repeats found			
1jtg_B	2-31;51-110	1.00000;0.51667	TP;TP	
1k28_D	No repeats found			
1k2y_X	No repeats found			
1k6k_A	No repeats found			
1k8k_D	No repeats found			
1kap_P				287-295;296-304;317-325;326-334;335-343;344-352;353-361;362-370;371-379;380-388;389-397;398-405;406-414;415-423;429-435;436-444;445-453;461-468
1kg1_A	No repeats found			
1kiz_A	No repeats found			
1knc_A	No repeats found			
1kpl_B	29-240;243-445	1.00000;1.00000	TP;TP	
1kt1_A	2-69;74-185;186-262	1.00000;0.64835;0.88312	TP;TP;TP	
1ky9_B	263-358;366-448	1.00000;1.00000	TP;TP	
1kzq_A	3-72;73-198;199-264	1.00000;0.51261;1.00000	TP;TP;TP	
1lar_A	4-292;302-574	1.00000;1.00000	TP;TP	
1li1_A	3-96;97-207	0.97872;0.83784	TP;TP	
1lpb_A	No repeats found			
1m9n_A	448-486;487-552;556-604	1.00000;1.00000;1.00000	TP;TP;TP	
1m9s_A	9-52;53-96;97-140;141-184;185-227;228-271;272-315;316-354;394-428;514-533	0.33376;0.27799;0.30502;0.28640;0.26389;0.28075;0.22078;;1.00000;0.31795	FP;FP;FP;FP;FP;FP;FP;FP;TP;FP	
1moq_A	47-193;197-357	0.97959;1.00000	TP;TP	
1msv_A	No repeats found			
1n0f_G	24-84;92-151	0.99789;0.83203	TP;TP	
1n2m_A	No repeats found			
1n81_A	13-91;95-175	1.00000;1.00000	TP;TP	
1nol_A	No repeats found			
1nu9_C	No repeats found			
1o70_A	32-167;171-307	0.93382;1.00000	TP;TP	
1o9s_A	No repeats found			
1ock_A	No repeats found			
1opm_A	No repeats found			
1pg6_A	16-80;81-147;148-212	1.00000;0.71930;0.57425	TP;TP;TP	
1pgj_A	No repeats found			
1ppr_M	1-150;151-312	1.00000;1.00000	TP;TP	
1pv5_A	37-155;191-255	0.94068;1.00000	TP;TP	
1pv6_A	No repeats found			
1qd1_B	No repeats found			
1qhg_A	No repeats found			
1qjs_A	37-55;56-103;104-142;143-195;197-233;259-310;311-350;356-398;410-447	1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000	TP;TP;TP;TP;TP;TP;TP;TP;TP	
1qm4_A	No repeats found			
1qme_A	588-642;645-698	1.00000;1.00000	TP;TP	
1qmh_A	No repeats found			
1qqg_A	No repeats found			
1qr0_A	No repeats found			
1qs1_A	81-241;262-440	1.00000;0.99441	TP;TP	
1qtq_A	No repeats found			
1qun_B	No repeats found			
1r51_A	No repeats found			
1r56_E	No repeats found			
1rhz_A	No repeats found			
1rl6_A	No repeats found			
1rwt_J	41-123;155-209	0.99783;0.99591	TP;TP	
1s3n_A	No repeats found			
1skz_A	7-27;28-74;93-115	1.00000;0.70213;1.00000	TP;TP;TP	
1squ_A	No repeats found			
1sr9_B	No repeats found			
1sum_B	14-76;77-176;177-234	1.00000;0.63000;0.98000	TP;TP;TP	
1t0t_Y	No repeats found			
1t3t_A	No repeats found			
1tbr_R	2-53;55-102	1.00000;0.97917	TP;TP	
1tdj_A	314-365;367-461;463-513	0.57692;0.64773;1.00000	TP;TP;TP	
1toc_R	No repeats found			
1ttu_A	No repeats found			
1uta_A	6-41;42-76	0.64462;0.63413	TP;TP	
1v9m_A	13-80;81-184;185-285;287-318	0.58464;1.00000;1.00000;0.63973	TP;TP;TP;TP	
1vjl_A	No repeats found			
1vk6_A	No repeats found			
1vkw_A	No repeats found			
1vl4_B	No repeats found			
1vlb_A	369-423;438-599;611-748	0.64550;0.51429;1.00000	TP;TP;TP	
1vly_A	No repeats found			
1vmo_A	1-43;45-96;99-151	0.65634;0.71154;0.67308	TP;TP;TP	
1wba_A	No repeats found			
1ycq_A	No repeats found			
1yua_A	19-63;76-107	1.00000;1.00000	TP;TP	
2bmi_A	No repeats found			
2bn2_A	18-38;50-82	1.00000;0.93939	TP;TP	
2bs2_C	No repeats found			
2dri_A	20-133;139-255	0.90351;1.00000	TP;TP	
2g3p_A	No repeats found			
2gep_A	No repeats found			
2psp_A	6-53;54-101	1.00000;0.97917	TP;TP	
2up1_A	3-92;94-182	1.00000;0.98851	TP;TP	
3ezm_A	2-52;53-101	0.98000;1.00000	TP;TP	
3pep_A	No repeats found			
4csm_A	No repeats found			
4pro_C	No repeats found			
7acn_A	No repeats found			
8gep_A	No repeats found			
