Structure	PredictedUnits	TMscore	Evaluation	Ignored
19hc_A	29-131;207-288	0.54014;0.54014	TP	
1a4p_A	No repeats found			
1a4s_A	No repeats found			
1a6d_A	18-138;278-395	0.32961;0.32961		
1a8l_A	24-90;136-204	0.77409;0.77409	TP	
1af2_A	No repeats found			
1afw_B	No repeats found			
1ahj_A	No repeats found			
1ahu_A	186-221;245-274	0.25957;0.25957		
1ai3_A	No repeats found			
1aj8_A	No repeats found			
1ako_A	No repeats found			
1ala_A	20-156;175-315	0.85053;0.85053	TP	
1anv_A	No repeats found			
1aoa_A	101-131;241-270	0.60849;0.60849	TP	
1aor_A	No repeats found			
1at0_A	No repeats found			
1avk_A	No repeats found			
1b24_A	No repeats found			
1b3q_A	No repeats found			
1b65_A	No repeats found			
1b70_B	No repeats found			
1b77_A	33-112;148-219	0.46879;0.46879	TP	
1ba3_A	No repeats found			
1bj5_A	11-192;395-582	0.67712;0.67712	TP	
1bml_C	No repeats found			
1boy_A	No repeats found			
1bp1_A	No repeats found			
1bwz_A	61-120;205-263	0.72393;0.72393	TP	
1bxr_A	5-401;557-934	0.96132;0.96132	TP	
1c3g_A	No repeats found			
1c8u_A	No repeats found			
1c8v_B	No repeats found			
1c9y_A	No repeats found			
1cdw_A	6-67;96-158	0.92032;0.92032	TP	
1ce8_A	5-401;557-934	0.91586;0.91586	TP	
1ciy_A	264-388;429-545	0.22747;0.22747		
1cjd_A	No repeats found			
1ck7_A	No repeats found			
1ckv_A	No repeats found			
1cpo_A	No repeats found			
1d2o_A	3-90;93-187	0.92478;0.92478	TP	
1d4v_A	44-73;84-114	0.54818;0.54818	TP	
1d5y_A	No repeats found			
1d8h_A	No repeats found			
1ddz_A	8-241;262-495	0.98035;0.98035	TP	
1dfc_A	30-246;278-484	0.83968;0.83968	TP	
1dgs_A	227-275;478-526	0.29561;0.31032		
1dkr_B	62-110;140-188	0.32282;0.32282		
1dlp_A	1-111;125-236	0.94231;0.94231	TP	
1doz_A	No repeats found			
1e0c_A	16-120;154-261	0.85186;0.85186	TP	
1e3p_A	32-250;361-572	0.79667;0.79667	TP	
1e9h_B	No repeats found			
1eb7_A	28-66;182-213	0.62844;0.62844	TP	
1efd_N	No repeats found			
1efu_D	No repeats found			
1ei5_A	No repeats found			
1emn_A	3-34;42-73	0.35999;0.35999		
1erz_A	No repeats found			
1exj_A	No repeats found			
1f0i_A	118-205;380-484	0.63574;0.63574	TP	
1f34_B	13-69;79-149	0.46721;0.46721	TP	
1f52_A	No repeats found			
1f53_A	No repeats found			
1f9z_A	No repeats found			
1fec_A	151-188;276-315	0.27966;0.27966		
1fga_A	No repeats found			
1fjr_A	No repeats found			
1fo4_A	No repeats found			
1fok_A	66-132;179-250	0.35169;0.35169		
1ftr_A	58-94;228-263	0.52303;0.52303	TP	
1fwq_A	No repeats found			
1fx8_A	No repeats found			
1fyz_E	No repeats found			
1g1b_A	67-99;131-163	0.50629;0.50629	TP	
1g4m_A	No repeats found			
1g61_A	14-120;106-209	0.82435;0.82435	TP	
1ggu_A	No repeats found			
1guw_A	No repeats found			
1h16_A	188-284;449-549	0.35320;0.35320		
1h5y_B	24-103;143-224	0.79196;0.79196	TP	
1h6g_A	69-154;172-256	0.62458;0.62458	TP	
1h6k_C	No repeats found			
1h99_A	15-107;120-217	0.69104;0.69104	TP	
1h9m_A	1-69;73-141	0.94644;0.94644	TP	
1haz_B	No repeats found			
1hg7_A	1-32;22-53	0.28404;0.15395		
1hh2_P	No repeats found			
1hr6_A	No repeats found			
1hs6_A	No repeats found			
1hsl_A	No repeats found			
1hxp_A	160-217;272-323	0.25556;0.25556		
1i50_H	No repeats found			
1i7o_A	2-206;222-425	0.88680;0.88680	TP	
1i8d_A	1-85;98-183	0.91484;0.91484	TP	
1idu_A	No repeats found			
1iic_A	No repeats found			
1in0_B	No repeats found			
1is2_A	No repeats found			
1isv_A	No repeats found			
1itb_B	27-79;125-179	0.67484;0.67484	TP	
1itk_B	22-190;407-567	0.67967;0.67967	TP	
1j6z_A	No repeats found			
1j7n_A	No repeats found			
1jaw_A	No repeats found			
