Structure	PredictedUnits	TMscore	Evaluation	Ignored
19hc_A	29-131;207-288	1.00000;1.00000	TP;TP	
1a4p_A	No repeats found			
1a4s_A	No repeats found			
1a6d_A	18-138;278-395	0.99020;0.29506	TP;FP	
1a8l_A	24-90;136-204	1.00000;1.00000	TP;TP	
1af2_A	No repeats found			
1afw_B	No repeats found			
1ahj_A	No repeats found			
1ahu_A	186-221;245-274	0.31506;0.29953	FP;FP	
1ai3_A	No repeats found			
1aj8_A	No repeats found			
1ako_A	No repeats found			
1ala_A	20-156;175-315	0.93243;0.95890	TP;TP	
1anv_A	No repeats found			
1aoa_A	101-131;241-270	1.00000;1.00000	TP;TP	
1aor_A	No repeats found			
1at0_A	No repeats found			
1avk_A	No repeats found			
1b24_A	No repeats found			
1b3q_A	No repeats found			
1b65_A	No repeats found			
1b70_B	No repeats found			
1b77_A	33-112;148-219	0.90000;1.00000	TP;TP	
1ba3_A	No repeats found			
1bj5_A	11-192;395-582	1.00000;1.00000	TP;TP	
1bml_C	No repeats found			
1boy_A	No repeats found			
1bp1_A	No repeats found			
1bwz_A	61-120;205-263	1.00000;1.00000	TP;TP	
1bxr_A	5-401;557-934	0.99636;0.99614	TP;TP	
1c3g_A	No repeats found			
1c3m_A	No repeats found			
1c8u_A	No repeats found			
1c8v_B	No repeats found			
1c9y_A	No repeats found			
1cdw_A	6-67;96-158	1.00000;1.00000	TP;TP	
1ce8_A	5-401;557-934	0.44540;0.41000	TP;TP	
1ciy_A	264-388;429-545	1.00000;0.30358	TP;FP	
1cjd_A	No repeats found			
1ck7_A	No repeats found			
1ckv_A	No repeats found			
1cpo_A	No repeats found			
1cy8_A	No repeats found			
1d2o_A	3-90;93-187	1.00000;1.00000	TP;TP	
1d4v_A	44-73;84-114	1.00000;1.00000	TP;TP	
1d5y_A	No repeats found			
1d8h_A	No repeats found			
1ddz_A	8-241;262-495	1.00000;1.00000	TP;TP	
1dfc_A	30-246;278-484	0.89076;0.74207	TP;TP	
1dgs_A	227-275;478-526	0.35967;0.51020	FP;TP	
1dkr_B	62-110;140-188	1.00000;0.53061	TP;TP	
1dlp_A	1-111;125-236	1.00000;1.00000	TP;TP	
1dmr_A	No repeats found			
1doz_A	No repeats found			
1e0c_A	16-120;154-261	1.00000;1.00000	TP;TP	
1e3p_A	32-250;361-572	0.91946;1.00000	TP;TP	
1e9h_B	No repeats found			
1eb7_A	28-66;182-213	1.00000;1.00000	TP;TP	
1efd_N	No repeats found			
1efu_D	No repeats found			
1ei5_A	No repeats found			
1emn_A	3-34;42-73	1.00000;1.00000	TP;TP	
1erz_A	No repeats found			
1exj_A	No repeats found			
1f0i_A	118-205;380-484	1.00000;1.00000	TP;TP	
1f34_B	13-69;79-149	1.00000;1.00000	TP;TP	
1f52_A	No repeats found			
1f53_A	No repeats found			
1f9z_A	No repeats found			
1fec_A	151-188;276-315	0.94737;1.00000	TP;TP	
1fga_A	No repeats found			
1fjr_A	No repeats found			
1fo4_A	No repeats found			
1fok_A	66-132;179-250	1.00000;1.00000	TP;TP	
1ftr_A	58-94;228-263	1.00000;1.00000	TP;TP	
1fwq_A	No repeats found			
1fx8_A	No repeats found			
1fyz_E	No repeats found			
1g1b_A	67-99;131-163	1.00000;1.00000	TP;TP	
1g4m_A	No repeats found			
1g61_A	14-120;106-209	1.00000;1.00000	TP;TP	
1ggu_A	No repeats found			
1guw_A	No repeats found			
1h16_A	188-284;449-549	1.00000;1.00000	TP;TP	
1h5y_B	24-103;143-224	1.00000;1.00000	TP;TP	
1h6g_A	69-154;172-256	0.73256;1.00000	TP;TP	
1h6k_C	No repeats found			
1h99_A	15-107;120-217	1.00000;1.00000	TP;TP	
1h9m_A	1-69;73-141	1.00000;0.95652	TP;TP	
1haz_B	No repeats found			
1hg7_A	1-32;22-53	1.00000;0.53571	TP;TP	
1hh2_P	No repeats found			
1hr6_A	No repeats found			
1hs6_A	No repeats found			
1hsl_A	No repeats found			
1hxp_A	160-217;272-323	0.68966;1.00000	TP;TP	
1i1q_A	No repeats found			
1i31_A	No repeats found			
1i50_H	No repeats found			
1i7o_A	2-206;222-425	1.00000;1.00000	TP;TP	
1i8d_A	1-85;98-183	1.00000;1.00000	TP;TP	
1idu_A	No repeats found			
1iic_A	No repeats found			
1in0_B	No repeats found			
1is2_A	No repeats found			
1isv_A	No repeats found			
1itb_B	27-79;125-179	1.00000;1.00000	TP;TP	
1itk_B	22-190;407-567	0.77515;0.76398	TP;TP	
1iwg_A	278-492;816-1025	0.82047;0.78215	TP;TP	
1j6z_A	No repeats found			
1j7n_A	No repeats found			
1jaw_A	No repeats found			
1jfl_A	60-118;172-228	0.94915;1.00000	TP;TP	
1jh7_A				184-188;185-189
1jly_A	12-143;169-290	1.00000;0.67602	TP;TP	
1jnx_X	No repeats found			
1jr2_A				3-13;4-14
1jsg_A	No repeats found			
1jtg_B	1-32;80-111	1.00000;1.00000	TP;TP	
1k28_D	No repeats found			
1k2y_X	No repeats found			
1k6k_A	5-20;7-22	1.00000;1.00000	TP;TP	
1k8k_D	No repeats found			
1kap_P	No repeats found			
1kg1_A	No repeats found			
1kiz_A	No repeats found			
1knc_A	26-57;142-173	1.00000;1.00000	TP;TP	
1kpl_B	31-202;247-414	1.00000;1.00000	TP;TP	
1kt1_A	21-138;138-251	1.00000;0.99123	TP;TP	
