Structure	PredictedUnits	TMscore	Evaluation	Ignored
19hc_A	118-137;237-252	0.29696;0.29696		225-236
1a4p_A	No repeats found			
1a4s_A	223-319;320-419	0.31322;0.31322		
1a6d_A	138-176;179-218	0.20571;0.20571		
1a8l_A	27-89;111-168	0.33862;0.33862		
1af2_A	36-74;104-142	0.29135;0.29135		
1afw_B	100-116;119-136	0.22754;0.22754		
1ahj_A	10-30;50-73	0.37827;0.37827		
1ai3_A	8-105;293-390	0.33266;0.33266		
1aj8_A	99-116;117-134	0.23799;0.23799		
1ako_A	No repeats found			
1ala_A	17-85;88-157;179-241;252-308	0.95305;0.95305;0.71043;0.92118	TP	
1aoa_A	83-130;223-269	0.66096;0.66096	TP	
1at0_A	No repeats found			
1b24_A	No repeats found			
1b65_A	143-158			127-141
1b70_B	504-548;549-589;607-669;671-740	0.27512;0.42822;0.42822;0.35305		
1b77_A	No repeats found			
1bj5_A	90-121;166-199;243-275;277-311;358-434	0.44620;0.60071;0.57195;0.42183;0.60071	TP	
1bml_C				273-284;316-326
1boy_A	14-38;45-75	0.31513;0.31513		
1bp1_A	212-229			323-336
1bwz_A	150-165;222-241	0.24613;0.24613		
1c3g_A	110-128			131-145
1c8u_A	60-89;230-257	0.60954;0.60954	TP	
1c8v_B	8-55;279-321	0.25678;0.25678		
1c9y_A	89-115;128-153	0.42803;0.42803		
1cdw_A	6-67;96-158	0.92032;0.92032	TP	
1cjd_A	210-245;259-293	0.29665;0.29665		
1ckv_A	No repeats found			
1cpo_A	170-217;220-254;257-287	0.40662;0.40662;0.22083		
1d2o_A	3-80;93-172	0.91598;0.91598	TP	
1d4v_A	No repeats found			
1d8h_A	No repeats found			
1ddz_A	23-42;277-296	0.62492;0.62492	TP	
1dfc_A	57-209;218-370;429-484	0.75659;0.87951;0.87951	TP	
1dkr_B	62-113;140-193	0.31566;0.31566		
1dlp_A	29-54;55-85;86-114;153-178;180-210;211-236	0.66271;0.81331;0.64141;0.66271;0.81331;0.64141	TP	
1doz_A	67-97;98-130;131-162	0.27293;0.38260;0.38260		
1e0c_A	20-120;158-261	0.84527;0.84527	TP	
1eb7_A	100-139;205-248	0.18190;0.18190		
1efd_N	No repeats found			
1emn_A	18-33;40-56;57-72	0.24442;0.16077;0.24442		
1erz_A	53-100;106-168;174-238	0.36013;0.28285;0.36013		
1exj_A	6-24;25-44;45-61	0.30354;0.22402;0.30354		
1f0i_A	170-191;195-216	0.16897;0.14831		
1f34_B	No repeats found			
1f53_A	No repeats found			
1f9z_A	No repeats found			
1fga_A	No repeats found			
1fjr_A	No repeats found			
1ftr_A	179-217;250-289	0.47333;0.47333		
1fx8_A	208-231;238-260	0.36161;0.36161		
1fyz_E	43-69;77-100	0.49500;0.49500		
1g1b_A	77-99;103-124;141-163	0.45323;0.16069;0.45323		
1g4m_A	190-228;349-387	0.20911;0.20911		
1g61_A	27-118;119-207	0.78865;0.78865	TP	
1guw_A	No repeats found			
1h5y_B	24-103;143-224	0.79196;0.79196	TP	
1h6g_A	14-129;138-249	0.76168;0.76168	TP	
1h99_A	No repeats found			
1h9m_A	2-69;74-141	0.94644;0.94644	TP	
1haz_B	No repeats found			
1hg7_A	No repeats found			
1hr6_A				205-217;223-236
1hsl_A				7-18;40-53
1hxp_A	38-72;85-118	0.21730;0.21730		
1i50_H	33-51;52-70	0.23359;0.23359		
1i7o_A				156-170;173-187;375-389;392-406
1i8d_A	1-85;98-183	0.91484;0.91484	TP	
1idu_A	184-220;419-453	0.19926;0.19926		
1iic_A	33-175;211-353	0.59015;0.59015	TP	
1itb_B	27-48;125-149	0.27785;0.27785		
1itk_B	37-133;137-213;225-365;373-506;519-665	0.63124;0.50172;0.40307;0.63124;0.50172	TP	
1j6z_A	5-54;148-201	0.39848;0.39848		
1jfl_A	60-111;172-224	0.77298;0.77298	TP	
1jh7_A	35-57;112-133	0.31580;0.31580		
1jly_A	57-84;113-141	0.51012;0.51012	TP	
1jnx_X	125-153;180-208	0.34095;0.34095		
1jr2_A				208-219;256-267
1jsg_A	No repeats found			
1jtg_B	1-36;44-70;80-115	0.73631;0.23534;0.73631	TP	
1k6k_A	No repeats found			
1k8k_D				210-219;230-239
1kg1_A	2-26;36-60	0.24428;0.24428		
1kiz_A	No repeats found			
1knc_A	34-77;118-160	0.70341;0.70341	TP	
1kpl_B	118-163;168-224;283-334;348-395	0.47774;0.46421;0.47895;0.47895		
1kzq_A	50-135;176-260	0.75635;0.75635	TP	
1lar_A	101-128;390-417	0.83661;0.83661	TP	
1li1_A	11-95;121-205	0.81089;0.81089	TP	
1lpb_A	No repeats found			
1moq_A	36-88;104-161	0.36755;0.36755		
1msv_A				66-78;106-118
1n0f_G	No repeats found			
1n81_A	No repeats found			
1nu9_C	133-162;166-193	0.39919;0.39919		
1o70_A	40-154;185-307	0.79291;0.79291	TP	
1ock_A	154-173;213-232;233-252	0.35222;0.17303;0.35222		
1opm_A	28-43			11-25
1pg6_A	27-82;101-149;168-222	0.44718;0.59664;0.59664	TP	
1ppr_M	1-150;164-312	0.96666;0.96666	TP	
1pv6_A	79-180;181-294;295-408	0.64148;0.52844;0.64148	TP	
1qd1_B	47-114;122-188	0.32842;0.32842		
1qhg_A	124-142;144-164	0.41993;0.41993		
1qjs_A	110-131;161-185;275-294;375-397	0.43340;0.41313;0.43340;0.38279		
1qm4_A	No repeats found			
1qqg_A	No repeats found			
1qr0_A	No repeats found			
1qs1_A	65-254;267-451	0.79680;0.79680	TP	
1qun_B	21-49;55-83	0.18132;0.18132		
1r51_A	160-185;186-207;208-230	0.17512;0.20559;0.20559		
1rhz_A	190-239;241-291	0.44609;0.44609		
1rl6_A	15-37;41-64	0.32717;0.32717		
1rwt_J	40-89;156-204	0.75645;0.75645	TP	
1s3n_A	5-37;122-149	0.40535;0.40535		
1skz_A	17-40;42-70	0.24034;0.24034		
1sum_B	71-106;173-202	0.78930;0.78930	TP	
1t0t_Y	97-129;132-165	0.28524;0.28524		
1tbr_R				3-12;20-29
1toc_R	6-51;66-114	0.55357;0.55357	TP	
1v9m_A	13-89;126-164;166-223;227-303	0.54843;0.46458;0.46121;0.54743		
1vjl_A	No repeats found			
1vkw_A	22-57;127-166	0.31671;0.31671		
1wba_A	No repeats found			
1ycq_A	No repeats found			
1yua_A	No repeats found			
2bmi_A	32-90;153-211	0.35888;0.35888		
2bn2_A	12-40;60-84	0.56485;0.56485	TP	
2bs2_C	125-150;168-198;216-249	0.44505;0.56368;0.56368	TP	
2dri_A	13-60;64-111	0.39989;0.39989		
2g3p_A	76-104;108-138	0.16907;0.16907		
2psp_A	3-49;51-98	0.81098;0.81098	TP	
2up1_A	7-87;98-178	0.86617;0.86617	TP	
3ezm_A	4-50;54-101	0.88212;0.88212	TP	
3pep_A				25-35;69-79
4pro_C	No repeats found			
