Structure	PredictedUnits	TMscore	Evaluation	Ignored
19hc_A	No repeats found			
1a4p_A	No repeats found			
1a4s_A	No repeats found			
1a6d_A	No repeats found			
1a8l_A	No repeats found			
1af2_A	No repeats found			
1afw_B	No repeats found			
1ahj_A	No repeats found			
1ai3_A	No repeats found			
1aj8_A	105-124;125-140;141-165;166-181;182-200;201-218;234-249;260-278;279-297;298-318;332-347;55-70;71-88;89-104	0.50659;0.53497;0.56009;0.72700;0.67051;0.62763;0.66658;0.56065;0.78687;0.48544;0.66395;0.69046;0.55403;0.78687	TP	
1ako_A	No repeats found			
1ala_A	124-170;16-51;171-207;208-246;247-282;52-87;88-123	0.88845;0.85559;0.68939;0.63703;0.84054;0.88845;0.85559	TP	
1aoa_A	No repeats found			
1at0_A	No repeats found			
1b24_A	No repeats found			
1b65_A	No repeats found			
1b70_B	No repeats found			
1b77_A	No repeats found			
1bj5_A	No repeats found			
1bml_C	No repeats found			
1boy_A	No repeats found			
1bp1_A	No repeats found			
1bwz_A	No repeats found			
1c3g_A	115-148;3-36;37-69;89-114	0.55603;0.48190;0.55603;0.48190		
1c8u_A	No repeats found			
1c8v_B	No repeats found			
1c9y_A	No repeats found			
1cdw_A	No repeats found			
1cjd_A	No repeats found			
1ckv_A	No repeats found			
1cpo_A	No repeats found			
1d2o_A	No repeats found			
1d4v_A	No repeats found			
1d8h_A	No repeats found			
1ddz_A	No repeats found			
1dfc_A	No repeats found			
1dkr_B	No repeats found			
1dlp_A	No repeats found			
1doz_A	No repeats found			
1e0c_A	No repeats found			
1eb7_A	No repeats found			
1efd_N	No repeats found			
1emn_A	No repeats found			
1erz_A	No repeats found			
1exj_A	No repeats found			
1f0i_A	No repeats found			
1f34_B	No repeats found			
1f53_A	No repeats found			
1f9z_A	No repeats found			
1fga_A	No repeats found			
1fjr_A	No repeats found			
1ftr_A	No repeats found			
1fx8_A	No repeats found			
1fyz_E	No repeats found			
1g1b_A	No repeats found			
1g4m_A	No repeats found			
1g61_A	No repeats found			
1guw_A	No repeats found			
1h5y_B	No repeats found			
1h6g_A	138-171;16-49;172-209;210-246;50-82;83-119	0.74956;0.74956;0.77763;0.65369;0.77763;0.66491	TP	
1h99_A	No repeats found			
1h9m_A	No repeats found			
1haz_B	No repeats found			
1hg7_A	No repeats found			
1hr6_A	No repeats found			
1hsl_A	No repeats found			
1hxp_A	No repeats found			
1i50_H	No repeats found			
1i7o_A	No repeats found			
1i8d_A	No repeats found			
1idu_A	No repeats found			
1iic_A	No repeats found			
1itb_B	No repeats found			
1itk_B	No repeats found			
1j6z_A	No repeats found			
1jfl_A	No repeats found			
1jh7_A	No repeats found			
1jly_A	No repeats found			
1jnx_X	No repeats found			
1jr2_A	No repeats found			
1jsg_A	No repeats found			
1jtg_B	No repeats found			
1k6k_A	102-124;125-142;24-50;4-23;51-67;82-101	0.48814;0.53004;0.48814;0.57216;0.72100;0.72100	TP	
1k8k_D	No repeats found			
1kg1_A	No repeats found			
1kiz_A	No repeats found			
1knc_A	115-141;14-32;142-165;33-59;60-82	0.57435;0.57435;0.56298;0.54676;0.56298	TP	
1kpl_B	No repeats found			
1kzq_A	No repeats found			
1lar_A	No repeats found			
1li1_A	No repeats found			
1lpb_A	No repeats found			
1moq_A	No repeats found			
1msv_A	No repeats found			
1n0f_G	No repeats found			
1n81_A	No repeats found			
1nu9_C	No repeats found			
1o70_A	No repeats found			
1ock_A	No repeats found			
1opm_A	No repeats found			
1pg6_A	No repeats found			
1ppr_M	No repeats found			
1pv6_A	No repeats found			
1qd1_B	No repeats found			
1qhg_A	No repeats found			
1qjs_A	No repeats found			
1qm4_A	No repeats found			
1qqg_A	No repeats found			
1qr0_A	No repeats found			
1qs1_A	No repeats found			
1qun_B	No repeats found			
1r51_A	No repeats found			
1rhz_A	No repeats found			
1rl6_A	No repeats found			
1rwt_J	No repeats found			
1s3n_A	No repeats found			
1skz_A	No repeats found			
1sum_B	No repeats found			
1t0t_Y	No repeats found			
1tbr_R	No repeats found			
1toc_R	No repeats found			
1v9m_A	No repeats found			
1vjl_A	No repeats found			
1vkw_A	No repeats found			
1wba_A	No repeats found			
1ycq_A	No repeats found			
1yua_A	No repeats found			
2bmi_A	No repeats found			
2bn2_A	No repeats found			
2bs2_C	No repeats found			
2dri_A	103-125;126-153;154-180;189-205;206-234;235-254;32-57;4-31;58-82	0.65067;0.71305;0.58891;0.73228;0.56412;0.69600;0.61558;0.73228;0.55577	TP	
2g3p_A	No repeats found			
2psp_A	No repeats found			
2up1_A	No repeats found			
3ezm_A	No repeats found			
3pep_A	No repeats found			
4pro_C	No repeats found			
