Structure	PredictedUnits	TMscore	Evaluation	Ignored
19hc_A	No repeats found		TP=0;FP=0	
1a4p_A	No repeats found		TP=0;FP=0	
1a4s_A	No repeats found		TP=0;FP=0	
1a6d_A	No repeats found		TP=0;FP=0	
1a8l_A	No repeats found		TP=0;FP=0	
1af2_A	No repeats found		TP=0;FP=0	
1afw_B	No repeats found		TP=0;FP=0	
1ahj_A	No repeats found		TP=0;FP=0	
1ai3_A	No repeats found		TP=0;FP=0	
1aj8_A	105-124;125-140;141-165;166-181;182-200;201-218;234-249;260-278;279-297;298-318;332-347;55-70;71-88;89-104		TP=0;FP=14	
1ako_A	No repeats found		TP=0;FP=0	
1ala_A	124-170;16-51;171-207;208-246;247-282;52-87;88-123		TP=0;FP=7	
1aoa_A	No repeats found		TP=0;FP=0	
1at0_A	No repeats found		TP=0;FP=0	
1b24_A	No repeats found		TP=0;FP=0	
1b65_A	No repeats found		TP=0;FP=0	
1b70_B	No repeats found		TP=0;FP=0	
1b77_A	No repeats found		TP=0;FP=0	
1bj5_A	No repeats found		TP=0;FP=0	
1bml_C	No repeats found		TP=0;FP=0	
1boy_A	No repeats found		TP=0;FP=0	
1bp1_A	No repeats found		TP=0;FP=0	
1bwz_A	No repeats found		TP=0;FP=0	
1c3g_A	115-148;3-36;37-69;89-114		TP=0;FP=4	
1c8u_A	No repeats found		TP=0;FP=0	
1c8v_B	No repeats found		TP=0;FP=0	
1c9y_A	No repeats found		TP=0;FP=0	
1cdw_A	No repeats found		TP=0;FP=0	
1cjd_A	No repeats found		TP=0;FP=0	
1ckv_A	No repeats found		TP=0;FP=0	
1cpo_A	No repeats found		TP=0;FP=0	
1d2o_A	No repeats found		TP=0;FP=0	
1d4v_A	No repeats found		TP=0;FP=0	
1d8h_A	No repeats found		TP=0;FP=0	
1ddz_A	No repeats found		TP=0;FP=0	
1dfc_A	No repeats found		TP=0;FP=0	
1dkr_B	No repeats found		TP=0;FP=0	
1dlp_A	No repeats found		TP=0;FP=0	
1doz_A	No repeats found		TP=0;FP=0	
1e0c_A	No repeats found		TP=0;FP=0	
1eb7_A	No repeats found		TP=0;FP=0	
1efd_N	No repeats found		TP=0;FP=0	
1emn_A	No repeats found		TP=0;FP=0	
1erz_A	No repeats found		TP=0;FP=0	
1exj_A	No repeats found		TP=0;FP=0	
1f0i_A	No repeats found		TP=0;FP=0	
1f34_B	No repeats found		TP=0;FP=0	
1f53_A	No repeats found		TP=0;FP=0	
1f9z_A	No repeats found		TP=0;FP=0	
1fga_A	No repeats found		TP=0;FP=0	
1fjr_A	No repeats found		TP=0;FP=0	
1ftr_A	No repeats found		TP=0;FP=0	
1fx8_A	No repeats found		TP=0;FP=0	
1fyz_E	No repeats found		TP=0;FP=0	
1g1b_A	No repeats found		TP=0;FP=0	
1g4m_A	No repeats found		TP=0;FP=0	
1g61_A	No repeats found		TP=0;FP=0	
1guw_A	No repeats found		TP=0;FP=0	
1h5y_B	No repeats found		TP=0;FP=0	
1h6g_A	138-171;16-49;172-209;210-246;50-82;83-119		TP=0;FP=6	
1h99_A	No repeats found		TP=0;FP=0	
1h9m_A	No repeats found		TP=0;FP=0	
1haz_B	No repeats found		TP=0;FP=0	
1hg7_A	No repeats found		TP=0;FP=0	
1hr6_A	No repeats found		TP=0;FP=0	
1hsl_A	No repeats found		TP=0;FP=0	
1hxp_A	No repeats found		TP=0;FP=0	
1i50_H	No repeats found		TP=0;FP=0	
1i7o_A	No repeats found		TP=0;FP=0	
1i8d_A	No repeats found		TP=0;FP=0	
1idu_A	No repeats found		TP=0;FP=0	
1iic_A	No repeats found		TP=0;FP=0	
1itb_B	No repeats found		TP=0;FP=0	
1itk_B	No repeats found		TP=0;FP=0	
1j6z_A	No repeats found		TP=0;FP=0	
1jfl_A	No repeats found		TP=0;FP=0	
1jh7_A	No repeats found		TP=0;FP=0	
1jly_A	No repeats found		TP=0;FP=0	
1jnx_X	No repeats found		TP=0;FP=0	
1jr2_A	No repeats found		TP=0;FP=0	
1jsg_A	No repeats found		TP=0;FP=0	
1jtg_B	No repeats found		TP=0;FP=0	
1k6k_A	102-124;125-142;24-50;4-23;51-67;82-101		TP=0;FP=6	
1k8k_D	No repeats found		TP=0;FP=0	
1kg1_A	No repeats found		TP=0;FP=0	
1kiz_A	No repeats found		TP=0;FP=0	
1knc_A	115-141;14-32;142-165;33-59;60-82		TP=0;FP=5	
1kpl_B	No repeats found		TP=0;FP=0	
1kzq_A	No repeats found		TP=0;FP=0	
1lar_A	No repeats found		TP=0;FP=0	
1li1_A	No repeats found		TP=0;FP=0	
1lpb_A	No repeats found		TP=0;FP=0	
1moq_A	No repeats found		TP=0;FP=0	
1msv_A	No repeats found		TP=0;FP=0	
1n0f_G	No repeats found		TP=0;FP=0	
1n81_A	No repeats found		TP=0;FP=0	
1nu9_C	No repeats found		TP=0;FP=0	
1o70_A	No repeats found		TP=0;FP=0	
1ock_A	No repeats found		TP=0;FP=0	
1opm_A	No repeats found		TP=0;FP=0	
1pg6_A	No repeats found		TP=0;FP=0	
1ppr_M	No repeats found		TP=0;FP=0	
1pv6_A	No repeats found		TP=0;FP=0	
1qd1_B	No repeats found		TP=0;FP=0	
1qhg_A	No repeats found		TP=0;FP=0	
1qjs_A	No repeats found		TP=0;FP=0	
1qm4_A	No repeats found		TP=0;FP=0	
1qqg_A	No repeats found		TP=0;FP=0	
1qr0_A	No repeats found		TP=0;FP=0	
1qs1_A	No repeats found		TP=0;FP=0	
1qun_B	No repeats found		TP=0;FP=0	
1r51_A	No repeats found		TP=0;FP=0	
1rhz_A	No repeats found		TP=0;FP=0	
1rl6_A	No repeats found		TP=0;FP=0	
1rwt_J	No repeats found		TP=0;FP=0	
1s3n_A	No repeats found		TP=0;FP=0	
1skz_A	No repeats found		TP=0;FP=0	
1sum_B	No repeats found		TP=0;FP=0	
1t0t_Y	No repeats found		TP=0;FP=0	
1tbr_R	No repeats found		TP=0;FP=0	
1toc_R	No repeats found		TP=0;FP=0	
1v9m_A	No repeats found		TP=0;FP=0	
1vjl_A	No repeats found		TP=0;FP=0	
1vkw_A	No repeats found		TP=0;FP=0	
1wba_A	No repeats found		TP=0;FP=0	
1ycq_A	No repeats found		TP=0;FP=0	
1yua_A	No repeats found		TP=0;FP=0	
2bmi_A	No repeats found		TP=0;FP=0	
2bn2_A	No repeats found		TP=0;FP=0	
2bs2_C	No repeats found		TP=0;FP=0	
