Structure	PredictedUnits	TMscore	Evaluation	Ignored
19hc_A	No repeats found			
1a4p_A	No repeats found			
1a4s_A	No repeats found			
1a6d_A	No repeats found			
1a8l_A	No repeats found			
1af2_A	52-190;92-230	0.71223;0.71223	TP	
1afw_B	No repeats found			
1ahj_A	No repeats found			
1ai3_A	No repeats found			
1aj8_A	No repeats found			
1ako_A	No repeats found			
1ala_A	19-91;84-156	0.87236;0.87236	TP	
1aoa_A	No repeats found			
1at0_A	No repeats found			
1b24_A	No repeats found			
1b65_A	No repeats found			
1b70_B	No repeats found			
1b77_A	No repeats found			
1bj5_A	123-315;246-438	0.49791;0.49398		
1bml_C	No repeats found			
1boy_A	No repeats found			
1bp1_A	No repeats found			
1bwz_A	No repeats found			
1c3g_A	No repeats found			
1c8u_A	No repeats found			
1c8v_B	No repeats found			
1c9y_A	No repeats found			
1cdw_A	6-96;83-174	0.79231;0.79231	TP	
1cjd_A	No repeats found			
1ckv_A	No repeats found			
1cpo_A	No repeats found			
1d2o_A	8-98;68-159	0.63085;0.63085	TP	
1d4v_A	No repeats found			
1d8h_A	No repeats found			
1ddz_A	10-264;233-487	0.86636;0.86636	TP	
1dfc_A	304-344;340-380	0.75159;0.75159	TP	
1dkr_B	No repeats found			
1dlp_A	10-134;102-227	0.72409;0.72409	TP	
1doz_A	No repeats found			
1e0c_A	No repeats found			
1eb7_A	No repeats found			
1efd_N	No repeats found			
1emn_A	No repeats found			
1erz_A	No repeats found			
1exj_A	No repeats found			
1f0i_A	No repeats found			
1f34_B	No repeats found			
1f53_A	No repeats found			
1f9z_A	No repeats found			
1fga_A	No repeats found			
1fjr_A	No repeats found			
1ftr_A	No repeats found			
1fx8_A	No repeats found			
1fyz_E	No repeats found			
1g1b_A	No repeats found			
1g4m_A	No repeats found			
1g61_A	37-128;87-178	0.69444;0.69444	TP	
1guw_A	No repeats found			
1h5y_B	66-187;110-231	0.63934;0.63934	TP	
1h6g_A	22-144;62-184	0.67480;0.67480	TP	
1h99_A	67-177;110-220	0.60550;0.60550	TP	
1h9m_A	6-78;69-141	0.84302;0.84302	TP	
1haz_B	No repeats found			
1hg7_A	No repeats found			
1hr6_A	No repeats found			
1hsl_A	No repeats found			
1hxp_A	No repeats found			
1i50_H	No repeats found			
1i7o_A	130-349;207-426	0.63679;0.63679	TP	
1i8d_A	36-134;86-184	0.48980;0.48980		
1idu_A	No repeats found			
1iic_A	No repeats found			
1itb_B	No repeats found			
1itk_B	87-460;125-498	0.89840;0.89840	TP	
1j6z_A	No repeats found			
1jfl_A	No repeats found			
1jh7_A	No repeats found			
1jly_A	No repeats found			
1jnx_X	No repeats found			
1jr2_A	No repeats found			
1jsg_A	No repeats found			
1jtg_B	No repeats found			
1k6k_A	No repeats found			
1k8k_D	No repeats found			
1kg1_A	No repeats found			
1kiz_A	No repeats found			
1knc_A	No repeats found			
1kpl_B	126-335;165-374	0.81429;0.81429	TP	
1kzq_A	No repeats found			
1lar_A	35-324;276-567	0.82249;0.82249	TP	
1li1_A	6-116;70-181	0.55549;0.55549	TP	
1lpb_A	No repeats found			
1moq_A	45-217;88-260	0.75145;0.75145	TP	
1msv_A	No repeats found			
1n0f_G	No repeats found			
1n81_A	13-99;65-151	0.51320;0.51320	TP	
1nu9_C	No repeats found			
1o70_A	125-278;152-305	0.82468;0.82468	TP	
1ock_A	No repeats found			
1opm_A	No repeats found			
1pg6_A	No repeats found			
1ppr_M	2-165;148-310	0.86757;0.86757	TP	
1pv6_A	No repeats found			
1qd1_B	No repeats found			
1qhg_A	No repeats found			
1qjs_A	No repeats found			
1qm4_A	No repeats found			
1qqg_A	No repeats found			
1qr0_A	No repeats found			
1qs1_A	240-437;260-457	0.89899;0.89899	TP	
1qun_B	No repeats found			
1r51_A	No repeats found			
1rhz_A	No repeats found			
1rl6_A	No repeats found			
1rwt_J	47-162;84-199	0.68103;0.68103	TP	
1s3n_A	No repeats found			
1skz_A	No repeats found			
1sum_B	14-117;67-170	0.49038;0.49038		
1t0t_Y	No repeats found			
1tbr_R	No repeats found			
1toc_R	No repeats found			
1v9m_A	No repeats found			
1vjl_A	No repeats found			
1vkw_A	No repeats found			
1wba_A	No repeats found			
1ycq_A	No repeats found			
1yua_A	No repeats found			
2bmi_A	No repeats found			
2bn2_A	No repeats found			
2bs2_C	No repeats found			
2dri_A	No repeats found			
2g3p_A	No repeats found			
2psp_A	12-61;48-97	0.64700;0.64700	TP	
2up1_A	7-98;86-177	0.76586;0.76586	TP	
3ezm_A	14-65;47-98	0.58942;0.58942	TP	
3pep_A	No repeats found			
4pro_C	No repeats found			
