19hc	A	[ 46-132; 224-289 ] 
1a4p	A	[ 8-39; 47-81 ] 
1a4s	A	[ 264-311; 342-389 ] 
1a8l	A	[ 10-116; 123-226 ] 
1af2	A	[ 34-126; 189-264 ] 
1afw	B	[ 12-128; 276-379 ] 
1aj8	A	[ 40-124; 151-225 ] 
1ala	A	[ 17-158; 172-317 ] 
1aoa	A	[ 22-136; 169-275 ] 
1aor	A	[ 13-108; 126-199 ] 
1at0	A	[ 1-64; 67-133 ] 
1avk	A	[ 13-89; 98-191 ] 
1b24	A	[ 7-75; 102-155 ] 
1b77	A	[ 3-97; 118-223 ] 
1ba3	A	[ 5-153; 189-316 ] 
1bj5	A	[ 105-194; 293-375; 375-455; 500-584 ] 
1bml	C	[ 7-134; 149-286 ] 
1boy	A	[ 13-101; 115-209 ] 
1bp1	A	[ 71-201; 335-443 ] 
1bwz	A	[ 1-109; 147-252 ] 
1bxr	A	[ 8-480; 560-967 ] 
1c3g	A	[ 1-79; 87-164 ] 
1c3m	A	[ 9-46; 57-104; 105-143 ] 
1c8u	A	[ 19-109; 177-281 ] 
1c8v	B	[ 86-136; 200-258 ] 
1cdw	A	[ 3-86; 93-177 ] 
1ce8	A	[ 9-496; 561-968 ] 
1ciy	A	[ 33-99; 131-185 ] 
1ck7	A	[ 193-247; 251-305; 309-364 ] 
1cpo	A	[ 50-85; 153-193 ] 
1d2o	A	[ 1-81; 91-173 ] 
1d5y	A	[ 23-57; 71-104 ] 
1d8h	A	[ 131-173; 214-262 ] 
1ddz	A	[ 9-235; 262-489 ] 
1dfc	A	[ 27-149; 156-269; 275-391; 391-473 ] 
1dgs	A	[ 446-498; 512-558 ] 
1dkr	B	[ 9-164; 168-308 ] 
1dlp	A	[ 10-110; 134-235 ] 
1dmr	A	[ 212-282; 443-519 ] 
1doz	A	[ 3-164; 173-307 ] 
1e0c	A	[ 8-124; 145-265 ] 
1e3p	A	[ 40-293; 369-583 ] 
1e9h	B	[ 43-128; 140-224 ] 
1eb7	A	[ 25-170; 180-306 ] 
1efu	B	[ 59-108; 140-181 ] 
1ei5	A	[ 346-419; 426-494 ] 
1erz	A	[ 3-47; 163-196 ] 
1f0i	A	[ 3-222; 312-490 ] 
1f9z	A	[ 4-71; 73-126 ] 
1fec	A	[ 90-159; 230-284 ] 
1fga	A	[ 20-56; 62-99; 103-143 ] 
1fok	A	[ 83-116; 323-353 ] 
1ftr	A	[ 18-111; 166-282 ] 
1fx8	A	[ 6-111; 144-259 ] 
1fyz	E	[ 18-73; 97-146 ] 
1g4m	A	[ 7-85; 183-259 ] 
1g61	A	[ 10-46; 103-137; 147-181; 191-227 ] 
1ggu	A	[ 519-627; 631-725 ] 
1h5y	B	[ 6-123; 127-244 ] 
1h6g	A	[ 1-128; 134-255 ] 
1h99	A	[ 15-111; 120-221 ] 
1h9m	A	[ 4-72; 76-144 ] 
1hh2	P	[ 200-278; 279-344 ] 
1hr6	A	[ 16-207; 227-448 ] 
1hsl	A	[ 5-74; 111-163 ] 
1hxp	A	[ 70-174; 218-303 ] 
1i1q	A	[ 6-76; 263-330 ] 
1i31	A	[ 73-174; 178-251 ] 
1i50	H	[ 4-61; 94-146 ] 
1i7o	A	[ 2-210; 222-429 ] 
1i8d	A	[ 1-89; 98-187 ] 
1idu	A	[ 22-69; 300-342 ] 
1iic	A	[ 58-189; 235-393 ] 
1in0	A	[ 2-84; 92-162 ] 
1is2	A	[ 284-436; 483-604 ] 
1isv	A	[ 313-353; 396-436 ] 
1itb	B	[ 36-117; 139-203 ] 
1itk	B	[ 86-392; 454-711 ] 
1iwg	A	[ 275-458; 813-991 ] 
1j7n	A	[ 52-180; 591-698 ] 
1jaw	A	[ 174-236; 280-356 ] 
1jfl	A	[ 34-140; 141-226 ] 
1jly	A	[ 2-155; 160-300 ] 
1jnx	X	[ 5-92; 119-211 ] 
1jr2	A	[ 22-151; 182-277 ] 
1jro	B	[ 283-427; 636-738 ] 
1jsg	A	[ 16-57; 60-114 ] 
1jtg	B	[ 3-75; 82-164 ] 
1k28	D	[ 46-111; 305-359 ] 
1k2y	X	[ 49-137; 171-270; 270-327 ] 
1k6k	A	[ 1-66; 79-142 ] 
1k8k	D	[ 32-135; 141-266 ] 
1kap	P	[ 262-332; 343-402 ] 
1knc	A	[ 21-92; 104-175 ] 
1kpl	B	[ 36-233; 252-440 ] 
1kt1	A	[ 30-140; 145-253 ] 
1ky9	B	[ 24-145; 162-251 ] 
1kzq	A	[ 9-132; 139-256 ] 
