19hc	A	[ 43-53; 55-67; 68-78; 80-91; 93-105; 107-118; 123-135; 29-41 ] 
1a8l	A	[ 16-114; 125-220 ] 
1af2	A	[ 59-170; 195-293 ] 
1ahj	A	[ 54-116; 117-178 ] 
1ala	A	[ 1-38; 39-113; 114-194; 195-272; 273-319 ] 
1at0	A	[ 15-43; 65-114 ] 
1b24	A	[ 6-93; 94-176 ] 
1bj5	A	[ 3-65; 67-258; 259-452; 453-583 ] 
1bxr	A	[ 4-410; 473-938 ] 
1c3m	A	[ 7-52; 55-103; 104-144 ] 
1cdw	A	[ 3-91; 93-177 ] 
1ce8	A	[ 5-422; 475-940 ] 
1ck7	A	[ 37-173; 192-346; 365-496; 500-530 ] 
1d2o	A	[ 2-91; 92-173 ] 
1d4v	A	[ 4-35; 37-77; 82-116 ] 
1ddz	A	[ 23-258; 275-494 ] 
1dfc	A	[ 11-38; 39-84; 85-125; 126-159; 170-202; 206-240; 247-287; 288-328; 329-369; 370-409; 411-446; 447-484 ] 
1dlp	A	[ 1-17; 27-54; 58-85; 87-117; 122-148; 151-178; 180-210; 212-235 ] 
1doz	A	[ 89-197; 231-308 ] 
1e0c	A	[ 8-141; 145-269 ] 
1e3p	A	[ 37-259; 307-579 ] 
1ei5	A	[ 340-405; 419-474 ] 
1emn	A	[ 1-38; 39-77 ] 
1f34	B	[ 10-57; 66-122 ] 
1fga	A	[ 21-52; 53-94; 95-125 ] 
1fx8	A	[ 7-22; 48-67; 68-124; 129-157 ] 
1g61	A	[ 4-48; 49-91; 97-139; 140-183; 186-227 ] 
1h5y	B	[ 34-101; 125-220 ] 
1h99	A	[ 19-119; 121-217 ] 
1h9m	A	[ 3-71; 73-143 ] 
1i7o	A	[ 2-219; 222-426 ] 
1i8d	A	[ 3-98; 99-186 ] 
1itk	B	[ 87-185; 305-567 ] 
1iwg	A	[ 185-593; 727-994 ] 
1jfl	A	[ 53-135; 165-212 ] 
1jly	A	[ 3-145; 149-291 ] 
1jnx	X	[ 5-119; 120-211 ] 
1jtg	B	[ 2-31; 51-110 ] 
1kap	P	[ 287-295; 296-304; 317-325; 326-334; 335-343; 344-352; 353-361; 362-370; 371-379; 380-388; 389-397; 398-405; 406-414; 415-423; 429-435; 436-444; 445-453; 461-468 ] 
1kpl	B	[ 29-240; 243-445 ] 
1kt1	A	[ 2-69; 74-185; 186-262; 272-299 ] 
1ky9	B	[ 263-358; 366-448 ] 
1kzq	A	[ 3-72; 73-198; 199-264 ] 
1lar	A	[ 4-292; 302-574 ] 
1li1	A	[ 3-96; 97-207 ] 
1m9n	A	[ 448-486; 487-552; 556-604 ] 
1m9s	A	[ 9-52; 53-96; 97-140; 141-184; 185-227; 228-271; 272-315; 316-354; 394-428; 514-533; 357-384 ] 
1moq	A	[ 47-193; 197-357 ] 
1n0f	G	[ 24-84; 92-151 ] 
1n81	A	[ 13-91; 95-175 ] 
1o70	A	[ 32-167; 171-307 ] 
1pg6	A	[ 16-80; 81-147; 148-212 ] 
1ppr	M	[ 1-150; 151-312 ] 
1pv5	A	[ 37-155; 191-255 ] 
1qjs	A	[ 37-55; 56-103; 104-142; 143-195; 197-233; 259-310; 311-350; 356-398; 410-447 ] 
1qme	A	[ 588-642; 645-698 ] 
1qs1	A	[ 81-241; 262-440 ] 
1rwt	J	[ 41-123; 155-209 ] 
1skz	A	[ 7-27; 28-74; 93-115 ] 
1sum	B	[ 14-76; 77-176; 177-234 ] 
1tbr	R	[ 2-53; 55-102 ] 
1tdj	A	[ 314-365; 367-461; 463-513 ] 
1uta	A	[ 6-41; 42-76 ] 
1v9m	A	[ 13-80; 81-184; 185-285; 287-318 ] 
1vlb	A	[ 369-423; 438-599; 611-748 ] 
1vmo	A	[ 1-43; 45-96; 99-151 ] 
1yua	A	[ 19-63; 76-107 ] 
2bn2	A	[ 18-38; 50-82 ] 
2dri	A	[ 20-133; 139-255 ] 
2psp	A	[ 6-53; 54-101 ] 
2up1	A	[ 3-92; 94-182 ] 
3ezm	A	[ 2-52; 53-101 ] 
