19hc	A	[ 29-131; 207-288 ] 
1a6d	A	[ 18-138; 278-395 ] 
1a8l	A	[ 24-90; 136-204 ] 
1ahu	A	[ 186-221; 245-274 ] 
1ala	A	[ 20-156; 175-315 ] 
1aoa	A	[ 101-131; 241-270 ] 
1b77	A	[ 33-112; 148-219 ] 
1bj5	A	[ 11-192; 395-582 ] 
1bwz	A	[ 61-120; 205-263 ] 
1bxr	A	[ 5-401; 557-934 ] 
1cdw	A	[ 6-67; 96-158 ] 
1ce8	A	[ 5-401; 557-934 ] 
1ciy	A	[ 264-388; 429-545 ] 
1d2o	A	[ 3-90; 93-187 ] 
1d4v	A	[ 44-73; 84-114 ] 
1ddz	A	[ 8-241; 262-495 ] 
1dfc	A	[ 30-246; 278-484 ] 
1dgs	A	[ 227-275; 478-526 ] 
1dkr	B	[ 62-110; 140-188 ] 
1dlp	A	[ 1-111; 125-236 ] 
1e0c	A	[ 16-120; 154-261 ] 
1e3p	A	[ 32-250; 361-572 ] 
1eb7	A	[ 28-66; 182-213 ] 
1emn	A	[ 3-34; 42-73 ] 
1f0i	A	[ 118-205; 380-484 ] 
1f34	B	[ 13-69; 79-149 ] 
1fec	A	[ 151-188; 276-315 ] 
1fok	A	[ 66-132; 179-250 ] 
1ftr	A	[ 58-94; 228-263 ] 
1g1b	A	[ 67-99; 131-163 ] 
1g61	A	[ 12-88; 147-225 ] 
1h16	A	[ 188-284; 449-549 ] 
1h5y	B	[ 24-103; 143-224 ] 
1h6g	A	[ 69-154; 172-256 ] 
1h99	A	[ 15-107; 120-217 ] 
1h9m	A	[ 1-69; 73-141 ] 
1hg7	A	[ 4-24; 42-62 ] 
1hxp	A	[ 160-217; 272-323 ] 
1i7o	A	[ 2-206; 222-425 ] 
1i8d	A	[ 1-85; 98-183 ] 
1itb	B	[ 27-79; 125-179 ] 
1itk	B	[ 22-190; 407-567 ] 
1iwg	A	[ 278-492; 816-1025 ] 
1jfl	A	[ 60-118; 172-228 ] 
1jh7	A	[ 18-63; 92-139 ] 
1jly	A	[ 12-143; 169-290 ] 
1jr2	A	[ 206-220; 254-268 ] 
1jtg	B	[ 1-32; 80-111 ] 
1knc	A	[ 26-57; 142-173 ] 
1kpl	B	[ 31-202; 247-414 ] 
1kt1	A	[ 21-138; 138-251 ] 
1lar	A	[ 37-274; 326-565 ] 
1li1	A	[ 11-111; 121-225 ] 
1m9s	A	[ 28-94; 138-204 ] 
1msv	A	[ 137-213; 218-296 ] 
1n0f	G	[ 33-94; 104-166 ] 
1o70	A	[ 43-154; 189-307 ] 
1pgj	A	[ 158-292; 300-440 ] 
1ppr	M	[ 1-150; 164-312 ] 
1pv5	A	[ 58-96; 191-230 ] 
1qjs	A	[ 51-185; 254-397 ] 
1qme	A	[ 193-276; 572-654 ] 
1qr0	A	[ 6-85; 108-186 ] 
1rl6	A	[ 14-31; 40-57 ] 
1rwt	J	[ 40-89; 156-204 ] 
1skz	A	[ 2-54; 56-109 ] 
1tbr	R	[ 15-48; 68-101 ] 
1toc	R	[ 6-51; 66-114 ] 
1v9m	A	[ 56-156; 160-263 ] 
1vkw	A	[ 20-60; 125-169 ] 
1vmo	A	[ 3-57; 109-161 ] 
1wba	A	[ 79-111; 143-174 ] 
2bn2	A	[ 12-31; 60-77 ] 
2bs2	C	[ 10-43; 197-229 ] 
2dri	A	[ 11-60; 62-111 ] 
2g3p	A	[ 28-60; 139-171 ] 
2gep	A	[ 37-97; 315-374 ] 
2psp	A	[ 16-54; 65-103 ] 
2up1	A	[ 6-87; 97-178 ] 
3ezm	A	[ 2-50; 52-101 ] 
8gep	A	[ 37-97; 315-374 ] 
