19hc	A	[ 118-137; 225-236; 237-252 ] 
1a4s	A	[ 223-319; 320-419 ] 
1a6d	A	[ 138-176; 179-218 ] 
1a8l	A	[ 27-89; 111-168 ] 
1af2	A	[ 36-74; 104-142 ] 
1afw	B	[ 100-116; 119-136 ] 
1ahj	A	[ 10-30; 50-73 ] 
1ahu	A	[ 270-291; 321-341 ] 
1ai3	A	[ 8-105; 293-390 ] 
1aj8	A	[ 99-116; 117-134 ] 
1ala	A	[ 17-85; 88-157; 179-241; 252-308 ] 
1anv	A	[ 31-49; 295-314 ] 
1aoa	A	[ 83-130; 223-269 ] 
1aor	A	[ 60-77; 79-98 ] 
1avk	A	[ 23-127; 132-265; 272-414 ] 
1b3q	A	[ 143-166; 209-235 ] 
1b65	A	[ 127-141; 143-158 ] 
1b70	B	[ 504-548; 549-589; 607-669; 671-740 ] 
1ba3	A	[ 296-382; 407-493 ] 
1bj5	A	[ 90-121; 166-199; 243-275; 277-311; 358-434 ] 
1bml	C	[ 273-284; 316-326 ] 
1boy	A	[ 14-38; 45-75 ] 
1bp1	A	[ 212-229; 323-336 ] 
1bwz	A	[ 150-165; 222-241 ] 
1bxr	A	[ 5-401; 557-934 ] 
1c3g	A	[ 110-128; 131-145 ] 
1c3m	A	[ 84-105; 108-126 ] 
1c8u	A	[ 60-89; 230-257 ] 
1c8v	B	[ 8-55; 279-321 ] 
1c9y	A	[ 89-115; 128-153 ] 
1cdw	A	[ 6-67; 96-158 ] 
1ce8	A	[ 5-401; 557-934 ] 
1ciy	A	[ 18-89; 129-198 ] 
1cjd	A	[ 210-245; 259-293 ] 
1ck7	A	[ 145-221; 222-279; 280-337; 338-378 ] 
1cpo	A	[ 170-217; 220-254; 257-287 ] 
1cy8	A	[ 82-109; 365-393 ] 
1d2o	A	[ 3-80; 93-172 ] 
1d5y	A	[ 38-66; 88-118 ] 
1ddz	A	[ 23-42; 277-296 ] 
1dfc	A	[ 57-209; 218-370; 429-484 ] 
1dgs	A	[ 159-195; 216-240; 249-272; 462-491; 500-523; 528-553 ] 
1dkr	B	[ 62-113; 140-193 ] 
1dlp	A	[ 29-54; 55-85; 86-114; 153-178; 180-210; 211-236 ] 
1dmr	A	[ 38-186; 243-395; 401-530; 531-622 ] 
1doz	A	[ 67-97; 98-130; 131-162 ] 
1e0c	A	[ 20-120; 158-261 ] 
1e3p	A	[ 33-191; 362-544; 547-733 ] 
1eb7	A	[ 100-139; 205-248 ] 
1efu	D	[ 217-234; 242-256 ] 
1ei5	A	[ 272-288; 347-367 ] 
1emn	A	[ 18-33; 40-56; 57-72 ] 
1erz	A	[ 53-100; 106-168; 174-238 ] 
1exj	A	[ 6-24; 25-44; 45-61 ] 
1f0i	A	[ 170-191; 195-216 ] 
1f52	A	[ 163-183; 239-259 ] 
1fec	A	[ 234-282; 289-333 ] 
1fo4	A	[ 206-276; 279-318; 320-391 ] 
1fok	A	[ 309-337; 549-574 ] 
1ftr	A	[ 179-217; 250-289 ] 
1fx8	A	[ 208-231; 238-260 ] 
1fyz	E	[ 43-69; 77-100 ] 
1g1b	A	[ 77-99; 103-124; 141-163 ] 
1g4m	A	[ 190-228; 349-387 ] 
1g61	A	[ 27-118; 119-207 ] 
1ggu	A	[ 344-374; 376-409 ] 
1h16	A	[ 186-255; 441-521; 534-600 ] 
1h5y	B	[ 24-103; 143-224 ] 
1h6g	A	[ 14-129; 138-249 ] 
1h6k	C	[ 263-284; 330-352 ] 
1h9m	A	[ 2-69; 74-141 ] 
1hh2	P	[ 12-51; 77-117 ] 
1hr6	A	[ 205-217; 223-236 ] 
1hs6	A	[ 24-135; 145-256 ] 
1hsl	A	[ 7-18; 40-53 ] 
1hxp	A	[ 38-72; 85-118 ] 
1i1q	A	[ 82-104; 110-131 ] 
1i50	H	[ 33-51; 52-70 ] 
1i7o	A	[ 156-170; 173-187; 375-389; 392-406 ] 
1i8d	A	[ 1-85; 98-183 ] 
1idu	A	[ 184-220; 419-453 ] 
1iic	A	[ 33-175; 211-353 ] 
1is2	A	[ 31-51; 307-329 ] 
1isv	A	[ 270-310; 311-353; 354-393; 394-436 ] 
1itb	B	[ 27-48; 125-149 ] 
1itk	B	[ 37-133; 137-213; 225-365; 373-506; 519-665 ] 
1iwg	A	[ 173-246; 247-316 ] 
1j6z	A	[ 5-54; 148-201 ] 
1j7n	A	[ 285-306; 311-328; 330-347; 349-366; 368-385 ] 
1jaw	A	[ 269-313; 332-382 ] 
1jfl	A	[ 60-111; 172-224 ] 
1jh7	A	[ 35-57; 112-133 ] 
1jly	A	[ 57-84; 113-141 ] 
1jnx	X	[ 125-153; 180-208 ] 
1jr2	A	[ 208-219; 256-267 ] 
1jtg	B	[ 1-36; 44-70; 80-115 ] 
1k28	D	[ 187-209; 234-254 ] 
1k2y	X	[ 22-86; 121-189 ] 
1k8k	D	[ 210-219; 230-239 ] 
1kap	P	[ 255-267; 350-367; 368-386 ] 
1kg1	A	[ 2-26; 36-60 ] 
1knc	A	[ 34-77; 118-160 ] 
1kpl	B	[ 118-163; 168-224; 283-334; 348-395 ] 
1kt1	A	[ 53-73; 168-184 ] 
1ky9	B	[ 145-214; 217-310; 313-407 ] 
1kzq	A	[ 50-135; 176-260 ] 
1lar	A	[ 101-128; 390-417 ] 
1li1	A	[ 11-95; 121-205 ] 
1m9n	A	[ 40-213; 217-311; 430-515 ] 
1m9s	A	[ 70-89; 92-111; 114-133; 136-155; 158-177; 180-199; 204-220 ] 
1moq	A	[ 36-88; 104-161 ] 
1msv	A	[ 66-78; 106-118 ] 
