1af2	A	[ 52-92; 190-230 ] 
1ala	A	[ 19-84; 91-156 ] 
1bj5	A	[ 123-246; 315-438 ] 
1bxr	A	[ 9-335; 561-877 ] 
1cdw	A	[ 6-83; 96-174 ] 
1ce8	A	[ 9-168; 561-714 ] 
1ck7	A	[ 253-302; 311-360 ] 
1d2o	A	[ 8-68; 98-159 ] 
1ddz	A	[ 10-233; 264-487 ] 
1dfc	A	[ 304-340; 344-380 ] 
1dlp	A	[ 10-102; 134-227 ] 
1g61	A	[ 37-87; 128-178 ] 
1h5y	B	[ 66-110; 187-231 ] 
1h6g	A	[ 22-62; 144-184 ] 
1h99	A	[ 67-110; 177-220 ] 
1h9m	A	[ 6-69; 78-141 ] 
1i7o	A	[ 130-207; 349-426 ] 
1i8d	A	[ 36-86; 134-184 ] 
1isv	A	[ 314-351; 397-434 ] 
1itk	B	[ 87-125; 460-498 ] 
1iwg	A	[ 342-422; 875-955 ] 
1kpl	B	[ 126-165; 335-374 ] 
1lar	A	[ 35-276; 324-567 ] 
1li1	A	[ 6-70; 116-181 ] 
1m9s	A	[ 47-117; 135-205 ] 
1moq	A	[ 45-88; 217-260 ] 
1n81	A	[ 13-65; 99-151 ] 
1o70	A	[ 125-152; 278-305 ] 
1ppr	M	[ 2-148; 165-310 ] 
1qme	A	[ 589-631; 647-689 ] 
1qs1	A	[ 240-260; 437-457 ] 
1r56	E	[ 76-110; 227-261 ] 
1rwt	J	[ 47-84; 162-199 ] 
1sum	B	[ 14-67; 117-170 ] 
2gep	A	[ 38-68; 316-346 ] 
2psp	A	[ 12-48; 61-97 ] 
2up1	A	[ 7-86; 98-177 ] 
3ezm	A	[ 14-47; 65-98 ] 
